timestamp,headline,source,source_link,positive,neutral,negative
2021-03-08 08:00:00+00:00,"Crude surges after attack on Saudi energy facilities, ICE Brent climbs above $70/b - S&P Global",S&P Global,https://www.spglobal.com,0.0049,0.9822,0.0196
2021-03-01 08:00:00+00:00,Brent crude oil prices continue to surge as demand begins to recover - MetalMiner,MetalMiner,https://agmetalminer.com,0.9581,0.0312,0.0088
2021-06-14 07:00:00+00:00,"Widening Brent-Dubai spread may curb Asia's H2 European, African crude imports - S&P Global",S&P Global,https://www.spglobal.com,0.0953,0.9082,0.0045
2021-02-26 08:00:00+00:00,ICE says existing Dated Brent price assessments to remain valid to June 2022 - S&P Global,S&P Global,https://www.spglobal.com,0.0067,0.9895,0.0108
2021-03-16 07:00:00+00:00,Qatar tightens global gas market grip with bold expansion moves - ETEnergyWorld,ETEnergyWorld,https://energy.economictimes.indiatimes.com,0.003,0.0043,0.9951
2021-03-09 08:00:00+00:00,Brent crude premium climbs as North Sea field maintenance cuts flow - WorldOil,WorldOil,https://www.worldoil.com,0.1417,0.002,0.799
2021-05-09 07:00:00+00:00,Brent Oil Surge Draws Flood of Crude Cargoes Toward Europe - Bloomberg,Bloomberg,https://www.bloomberg.com,0.9086,0.0139,0.0227
2021-04-08 07:00:00+00:00,Brent/Dubai spread an indicator to watch amid shifting crude oil flows - S&P Global,S&P Global,https://www.spglobal.com,0.194,0.4752,0.0104
2021-04-08 07:00:00+00:00,Brent Council to pay millions in water bill refunds - Brent and Kilburn Times,Brent and Kilburn Times,https://www.kilburntimes.co.uk,0.0031,0.0047,0.9938
2021-12-22 08:00:00+00:00,DUBAI FUTURES: Brent/Dubai EFS recovers; arbitrage flows remain thin - S&P Global,S&P Global,https://www.spglobal.com,0.1482,0.1641,0.0414
2021-07-28 07:00:00+00:00,Brent/Dubai September EFS spread widens; India seeks more arbitrage crude - S&P Global,S&P Global,https://www.spglobal.com,0.006,0.9337,0.0314
2021-09-10 07:00:00+00:00,There's a new catalyst in the Brent/Dubai crude complex - S&P Global,S&P Global,https://www.spglobal.com,0.0025,0.479,0.5047
2021-10-16 07:00:00+00:00,Brent rises to $85 as energy crisis stokes demand before winter - Business Standard,Business Standard,https://www.business-standard.com,0.0048,0.0024,0.9942
2021-08-10 07:00:00+00:00,October Brent/Dubai EFS spread narrows; arbitrage viability increases - S&P Global,S&P Global,https://www.spglobal.com,0.0036,0.8741,0.0973
2021-10-07 07:00:00+00:00,"Brent Oil Prices Forecast to Advance, but E&Ps Still Prioritizing Bottom Line - Natural Gas Intelligence",Natural Gas Intelligence,https://www.naturalgasintel.com,0.0021,0.1048,0.8568
2021-11-16 08:00:00+00:00,"U.S. oil prices end lower, but Brent oil gains after back-to-back losses - MarketWatch",MarketWatch,https://www.marketwatch.com,0.3554,0.0193,0.1158
2021-11-10 08:00:00+00:00,"Jan Brent-Dubai EFS widens, India issues tender for West African crudes - S&P Global",S&P Global,https://www.spglobal.com,0.0019,0.096,0.9089
2022-02-10 08:00:00+00:00,Apr Brent/Dubai EFS slips below $5/b on signs of arbitrage availability - S&P Global,S&P Global,https://www.spglobal.com,0.007,0.9927,0.0085
2022-02-02 08:00:00+00:00,"Brent tops $90 as OPEC+ up production to 400,000 bpd - Businessday",Businessday,https://businessday.ng,0.0027,0.0051,0.9938
2022-01-27 08:00:00+00:00,"Russian February domestic crude prices surge on firmer Brent, weaker ruble - S&P Global",S&P Global,https://www.spglobal.com,0.007,0.9926,0.0085
2022-02-01 08:00:00+00:00,The Brent Oil price edges near $90 as supply shock looms - Nairametrics,Nairametrics,https://nairametrics.com,0.0031,0.0038,0.9937
2022-02-24 08:00:00+00:00,ICE Brent crude hits $100/b as Russia announces special military operation in Ukraine - S&P Global,S&P Global,https://www.spglobal.com,0.0026,0.0055,0.994
2022-02-12 08:00:00+00:00,Dated Brent near $98/b as US warns of possible Russian invasion of Ukraine - S&P Global,S&P Global,https://www.spglobal.com,0.007,0.9926,0.0085
2022-02-08 08:00:00+00:00,Physical crude markets in the spotlight as Dated Brent nears $100/b - S&P Global,S&P Global,https://www.spglobal.com,0.0069,0.9927,0.0086
2022-04-21 07:00:00+00:00,"WTI, Brent Rally on Concerns Over Libyan, Russian Supplies - DTN The Progressive Farmer",DTN The Progressive Farmer,https://www.dtnpf.com,0.0035,0.0033,0.9952
2022-03-02 08:00:00+00:00,Brent crude oil touches $110 amid fear of supply chain disruption from Russia - Scroll.in,Scroll.in,https://scroll.in,0.0034,0.0033,0.9962
2022-03-03 08:00:00+00:00,"Brent touches nine-year high of $118, supply issues roil oil markets - Business Standard",Business Standard,https://www.business-standard.com,0.0034,0.0032,0.996
2022-02-14 08:00:00+00:00,"S&P Global Platts proposes including US WTI Midland crude in Dated Brent, keeps benchmark on FOB basis - S&P Global",S&P Global,https://www.spglobal.com,0.0044,0.9779,0.027
2022-02-17 08:00:00+00:00,"WTI, Brent Futures Drop Back on Progress in Iranian Talks - DTN The Progressive Farmer",DTN The Progressive Farmer,https://www.dtnpf.com,0.0037,0.0033,0.9946
2022-03-31 07:00:00+00:00,Goldman sees potential SPR release cutting H2 2022 Brent forecast by $15/b - S&P Global,S&P Global,https://www.spglobal.com,0.0037,0.9622,0.0484
2022-04-08 07:00:00+00:00,Brent crude oil drops below $100 as bears gain upper hand - BusinessLine,BusinessLine,https://www.thehindubusinessline.com,0.0077,0.0021,0.9907
2022-04-07 07:00:00+00:00,Brent oil six-month spread falls to lowest since Jan as supply fears ease - Reuters,Reuters,https://www.reuters.com,0.9889,0.011,0.011
2022-02-28 08:00:00+00:00,Brent oil prices end above $100 a barrel on new Russia sanctions as U.S. and others eye release from oil reserves - MarketWatch,MarketWatch,https://www.marketwatch.com,0.0026,0.0051,0.9936
2022-04-19 07:00:00+00:00,"Oil prices up as Libya outage worsens supply crisis, Brent reaches $113.77/bbl - Business Today",Business Today,https://www.businesstoday.in,0.0034,0.0032,0.9962
2022-04-19 07:00:00+00:00,Brent crude dips 3.4% to $109.22 as IMF cuts global growth outlook - Business Standard,Business Standard,https://www.business-standard.com,0.0017,0.0556,0.9433
2022-04-01 07:00:00+00:00,Goldman sees potential SPR release cutting H2 2022 Brent forecast by $15/b - Hellenic Shipping News Worldwide,Hellenic Shipping News Worldwide,https://www.hellenicshippingnews.com,0.0017,0.0717,0.9455
2022-03-22 07:00:00+00:00,Brent rises to $115 as EU considers Russia oil ban - Punch Newspapers,Punch Newspapers,https://punchng.com,0.0041,0.0028,0.9959
2022-03-22 07:00:00+00:00,Brent climbs above $115 a barrel as EU mulls Russian oil ban - Business Today,Business Today,https://www.businesstoday.in,0.0034,0.0032,0.9962
2022-04-27 07:00:00+00:00,Oil prices extend gains on Russia gas cuts threat; Brent reaches $106.26/bbl - Business Today,Business Today,https://www.businesstoday.in,0.0034,0.0032,0.9962
2022-04-18 07:00:00+00:00,Brent oil prices rise on supply concerns as Ukraine crisis deepens - CNBCTV18,CNBCTV18,https://www.cnbctv18.com,0.0037,0.0029,0.9952
2022-05-04 07:00:00+00:00,Brent Oil Price Nears $109 a Barrel as EU Details Plans to Cut Russian Oil Imports - Offshore Engineer,Offshore Engineer,https://www.oedigital.com,0.0033,0.0032,0.9962
2022-05-27 07:00:00+00:00,"OIL FUTURES: Brent, WTI crude benchmarks edge down; market stays strong - S&P Global",S&P Global,https://www.spglobal.com,0.0028,0.0078,0.9867
2022-03-22 07:00:00+00:00,"European Union unlikely to impose an oil embargo on Russia, sources say - CNBC",CNBC,https://www.cnbc.com,0.0028,0.0302,0.9439
2022-03-22 07:00:00+00:00,Brent crude prices rise to $114 p/b as EU mulls Russian oil ban The Nation Newspaper - The Nation Newspaper,The Nation Newspaper,https://thenationonlineng.net,0.0033,0.0033,0.9962
2022-06-22 07:00:00+00:00,Brent Falls as Biden Pushes to Halt US Rising Fuel Cost - Business Post Nigeria,Business Post Nigeria,https://businesspost.ng,0.0697,0.0015,0.9372
2022-06-02 07:00:00+00:00,Brent breaches $117 mark amid EU Russian oil embargo - Daily Times,Daily Times,https://dailytimes.com.pk,0.0034,0.0032,0.9962
2022-05-27 07:00:00+00:00,Oil prices fall on global supply concerns; Brent crude reaches $117.29/bbl - Business Today,Business Today,https://www.businesstoday.in,0.0036,0.0299,0.9007
2022-05-27 07:00:00+00:00,ICE Brent crude futures hover at 2-month high amid tight supply - S&P Global,S&P Global,https://www.spglobal.com,0.2999,0.6657,0.0049
2022-05-12 10:35:25+00:00,Here's how much Brent crude oil could rise per barrel if EU bans Russian oil - Finbold - Finance in Bold,Finbold - Finance in Bold,https://finbold.com,0.0033,0.0033,0.9962
2022-04-05 07:00:00+00:00,Oil prices go up on supply uncertainty; Brent reaches $109.11/bbl - Business Today,Business Today,https://www.businesstoday.in,0.0042,0.0026,0.9945
2022-06-06 07:00:00+00:00,Citi raises oil price forecasts on 'heavily delayed' Iran deal - Economic Times,Economic Times,https://economictimes.indiatimes.com,0.0018,0.0724,0.9409
2022-05-31 07:00:00+00:00,Brent crude hits around $124/bbl after EU leaders agree to ban most Russian crude imports - Economic Times,Economic Times,https://economictimes.indiatimes.com,0.0043,0.021,0.9177
2022-06-13 07:00:00+00:00,Brent Bulls Get a Boost from EU Sanctions on Russia - Offshore Engineer,Offshore Engineer,https://www.oedigital.com,0.0033,0.0033,0.9961
2022-06-12 07:00:00+00:00,Brent Crude Oil Price Update - Sellers in Control after Norwegian Oil Firms Avoid Strike - FX Empire,FX Empire,https://www.fxempire.com,0.0041,0.0027,0.9946
